Date,Description,Amount
8/3/2022,MORTON WILLIAMS - AMNEW YORK            NY,19.03
1/3/2022,MORTON WILLIAMS - BLNEW YORK            NY,3.71
1/5/2022,NYC BAGEL & COFFEE HASTORIA             NY,4.7
8/11/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/10/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/14/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/13/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/15/2022,NYCT PAYGO          NEW YORK            NY,2.75
1/18/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/29/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/9/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/6/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/24/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/30/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/19/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/5/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/19/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/30/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/4/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/20/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/3/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/1/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/13/2022,NYCT PAYGO          NEW YORK            NY,2.75
4/30/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/3/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/5/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/27/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/10/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/7/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/20/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/27/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/7/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/31/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/23/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/14/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/30/2022,NYCT PAYGO          NEW YORK            NY,2.75
4/30/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/2/2022,NYCT PAYGO          NEW YORK            NY,2.75
4/23/2022,NYCT PAYGO          NEW YORK            NY,2.75
9/15/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/24/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/4/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/23/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/4/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/25/2022,NYCT PAYGO          NEW YORK            NY,2.75
4/4/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/8/2022,NYCT PAYGO          NEW YORK            NY,2.75
9/2/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/18/2022,NYCT PAYGO          NEW YORK            NY,2.75
9/26/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/26/2022,NYCT PAYGO          NEW YORK            NY,2.75
9/20/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/9/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/18/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/2/2022,NYCT PAYGO          NEW YORK            NY,2.75
4/27/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/24/2022,NYCT PAYGO          NEW YORK            NY,2.75
1/27/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/9/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/30/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/26/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/18/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/3/2022,NYCT PAYGO          NEW YORK            NY,2.75
1/17/2022,NYCT PAYGO          NEW YORK            NY,2.75
9/28/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/21/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/25/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/27/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/30/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/31/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/28/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/18/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/28/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/14/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/18/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/18/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/19/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/12/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/20/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/27/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/5/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/13/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/29/2022,NYCT PAYGO          NEW YORK            NY,2.75
11/13/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/13/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/1/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/10/2022,NYCT PAYGO          NEW YORK            NY,2.75
3/9/2022,NYCT PAYGO          NEW YORK            NY,2.75
1/27/2022,NYCT PAYGO          NEW YORK            NY,2.75
1/7/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/6/2022,NYCT PAYGO          NEW YORK            NY,2.75
8/4/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/13/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/28/2022,NYCT PAYGO          NEW YORK            NY,2.75
6/21/2022,NYCT PAYGO          NEW YORK            NY,2.75
10/15/2022,NYCT PAYGO          NEW YORK            NY,2.75
12/25/2022,NYCT PAYGO          NEW YORK            NY,2.75
7/11/2022,NYCT PAYGO          NEW YORK            NY,2.75
5/24/2022,NYCT PAYGO          NEW YORK            NY,2.75
4/7/2022,NYCT PAYGO          NEW YORK            NY,2.75
4/16/2022,NYCT PAYGO          NEW YORK            NY,2.75
2/9/2022,OMNYPYG*            877-789-6669        NY,2.75
3/17/2022,OMNYPYG*            877-789-6669        NY,2.75
8/12/2022,OMNYPYG*            877-789-6669        NY,2.75
11/9/2022,ONLINE PAYMENT - THANK YOU,-70.98
10/29/2022,ONLINE PAYMENT - THANK YOU,-78.31
7/21/2022,ONLINE PAYMENT - THANK YOU,-313.19
10/26/2022,ONLINE PAYMENT - THANK YOU,-130.42
8/25/2022,ONLINE PAYMENT - THANK YOU,-20.76
3/5/2022,ONLINE PAYMENT - THANK YOU,-970.65
4/27/2022,ONLINE PAYMENT - THANK YOU,-792.98
5/4/2022,ONLINE PAYMENT - THANK YOU,-17.34
7/3/2022,ONLINE PAYMENT - THANK YOU,-123.91
10/29/2022,ONLINE PAYMENT - THANK YOU,-163.57
9/21/2022,ONLINE PAYMENT - THANK YOU,-78.51
6/2/2022,PASCHALS CONCOURSE BATLANTA             GA,5.05
7/24/2022,PEAK FOOD COURT     Killington          VT,5.87
10/21/2022,RENFE VIRTUAL INTERNMADRID              ES,55.01
9/26/2022,RITE AID,5.61
3/15/2022,RITE AID,19.17
8/4/2022,ROBBIE & CO. MEN'S SNew York            NY,272.06
6/9/2022,RUBYS CANDY & GROCER,23.71
8/23/2022,SAMAD'S GOURMET,5.51
10/20/2022,SANFORDS,24.53
5/29/2022,SANFORDS RESTAURANT ASTORIA             NY,34.4
2/6/2022,SEAMLSS*MADISONCAFE NEW YORK            NY,2.65
10/10/2022,SEAMLSS*MADISONCAFE NEW YORK            NY,7.95
12/25/2022,SLICE*KORONETPIZZA  NEW YORK CITY       NY,28.41
12/26/2022,SOCIETY LITTLE FLOWEDARIEN              IL,61.19
1/5/2022,Southwest Airlines  DALLAS              TX,209.74
6/24/2022,SP GAMMARAYOPTIX    POMONA              CA,6.12
10/28/2022,STUBHUB,22.32
11/11/2022,SYMPOSIUM RESTAURANTNEW YORK            NY,19.42
2/15/2022,T2 BOOK STORE       QUEENS              NY,5.92
4/27/2022,TASTE OF ITALY PIZZEASTORIA             NY,3.82
10/15/2022,THE HOME DEPOT,16.21
7/9/2022,THE HOME DEPOT      NEW YORK            NY,8.9
3/7/2022,TOMS RESTAURANT 6500NEW YORK            NY,23.85
12/3/2022,TST* DEAR MAMA- WESTNEW YORK            NY,5.76
3/15/2022,TST* FRANKLIN PARK,63.39
12/6/2022,TST* KING OF FALAFELASTORIA             NY,15.52
4/24/2022,"TST* SHAI, BUTTERFUNNEW YORK            NY",1.55
10/29/2022,TST* THE BRONX BREWEBRONX               NY,2.1
6/12/2022,TST* WU & BAUM 00034NEW YORK            NY,4.61
12/2/2022,U-HAUL,12.52
1/13/2022,UNIVERSITY HARDWARE NEW YORK            NY,8.29
12/24/2022,UNIVERSITY HARDWARE NEW YORK            NY,14.34
9/28/2022,UNIVERSITY HARDWARE NEW YORK            NY,86.06
7/20/2022,VIZCAYA MUSEUM AND GMIAMI               FL,21.95
4/21/2022,WESTSIDE MARKET,11.87
2/14/2022,WESTSIDE MARKET 2840NEW YORK            NY,2.92
8/2/2022,WESTSIDE MARKET 2840NEW YORK            NY,9.81
